id,original_title,cast,director,genres,production_companies,keywords,release_year
421443,Teleios,"['sunnymabrey', 'lancebroadway', 'tjhoban']",['iantruitner'],['sciencefiction'],['thousandmilemedia'],"['artificialintelligence', 'isolation', 'geneticenhancement']",2017
419700,Sandy Wexler,"['adamsandler', 'kevinjames', 'terrycrews']",['stevenbrill'],['comedy'],"['happymadisonproductions', 'netflix']","['showbusiness', 'losangeles', 'talentmanager']",2017
333354,Extortion,"['bethanyjoylenz', 'dannyglover', 'timgriffin']",['philvolken'],"['action', 'adventure', 'crime']","['filmmuseproductions', 'delreyfilms']","['kidnapping', 'bahamas', 'extortion']",2017
385805,Betting on Zero,['williamackman'],['tedbraun'],['documentary'],['zipperbrosfilms'],"['hispanoamerican', 'billionaire', 'recruiting']",2017
407757,"Sweet, Sweet Lonely Girl","['quinnshephard', 'erinwilhelmi', 'susankellermann']",['adcalvo'],"['drama', 'horror', 'thriller']","['greyshackfilms', 'budderflyproductions', 'goodnightfilm']","['gothichorror', 'caregiver', 'lonely']",2016
386172,The Rift,"['katarinačas', 'kenforee', 'montemarkham']",['dejanzečević'],"['thriller', 'horror', 'sciencefiction']","['mediaplus', 'viktorijafilm', 'talkingwolfproductions', 'digitalkraft', 'moreingroup', 'bbostar']","['boy', 'space', 'astronaut']",2016
381032,Another Evil,"['stevezissis', 'markproksch', 'jenniferirwin']",['carsondmell'],"['comedy', 'horror']",['memory'],"['malenudity', 'femalenudity', 'nudity']",2017
268531,Captain Underpants: The First Epic Movie,"['kevinhart', 'edhelms', 'thomasmiddleditch']",['davidsoren'],"['action', 'animation', 'comedy']","['dreamworksanimation', 'scholasticentertainment']","['underwear', 'school', 'principal']",2017
426230,Band Aid,"['zoelisterjones', 'adampally', 'fredarmisen']",['zoelisterjones'],['comedy'],"['misterlisterfilms', 'qcentertainment']","['music', 'independentfilm']",2017
418078,It Comes at Night,"['joeledgerton', 'christopherabbott', 'carmenejogo']",['treyedwardshults'],"['horror', 'mystery', 'thriller']","['animalkingdom', 'a24']","['fire', 'nihilism', 'homicide']",2017
424488,Megan Leavey,"['katemara', 'ramónrodríguez', 'tomfelton']",['gabrielacowperthwaite'],"['drama', 'war']","['ldentertainment', 'callecruzada']","['humananimalrelationship', 'femalesoldier', 'iraqwar']",2017
260514,Cars 3,"['owenwilson', 'cristelaalonzo', 'chriscooper']",['brianfee'],"['family', 'comedy', 'animation']","['waltdisneypictures', 'pixaranimationstudios']","['cgi', 'anthropomorphism']",2017
400136,バイオハザード ヴェンデッタ,"['kevindorman', 'matthewmercer', 'erincahill']",['takanoritsujimoto'],"['action', 'adventure', 'animation']","['capcom', 'stage6films', 'kadokawa', 'capcomcompany', 'marzaanimationplanet']","['sequel', 'residentevil', 'zombie']",2017
431071,Mad Families,"['leahremini', 'charlottemckinney', 'charliesheen']",['fredwolf'],['comedy'],['crackle'],"['camping', 'fourthofjuly']",2017
348893,Boyka: Undisputed IV,"['scottadkins', 'teodoraduhovnikova', 'alonaboutboul']",['todorchapkanov'],"['thriller', 'action', 'crime']",['nuboyanaviburno'],"['prison', 'wife', 'sport']",2016
445993,The Marine 5: Battleground,"['mikemizanin', 'annavanhooft', 'maryseouelletmizanin']",['jamesnunn'],['action'],['wwestudios'],['accion'],2017
432364,The Covenant,"['monicaengesser', 'clintjames', 'mariaolsen']",['robertconway'],['horror'],['funhousefeatures'],"['isolation', 'possession', 'demon']",2017
378221,Rufus,"['daviscleveland', 'jacenorman']",['savagesteveholland'],"['comedy', 'family']",['nickelodeon'],"['amulet', 'short']",2016
435737,Rufus 2,"['jacenorman', 'daviscleveland', 'haleytju']",['savagesteveholland'],"['family', 'fantasy', 'comedy']",['nickelodeonproductions'],"['children', 'anthropomorphism']",2017
